iter	RMSE
171	4.207468949
172	4.18451582
173	4.161800365
174	4.139233653
175	4.116911086
176	4.094998642
177	4.073379818
178	4.066835077
179	4.045293853
180	4.02400588
181	4.003125632
182	3.982377011
183	3.96186801
184	3.941410308
185	3.921387637
186	3.901291281
187	3.881630464
188	3.862270544
189	3.858268229
190	3.839118841
191	3.819896812
192	3.801259309
193	3.782740044
194	3.764388797
195	3.746330592
196	3.739889852
197	3.72207229
198	3.704511033
199	3.698387318
200	3.68088339
201	3.663606339
202	3.646525694
203	3.629767001
204	3.624476174
205	3.607733929
206	3.591278877
207	3.575098777
208	3.570533888
209	3.554496356
210	3.538662264
211	3.523008338
212	3.507541918
213	3.492258298
214	3.477192593
215	3.461324516
216	3.446619325
217	3.432086586
218	3.417764699
219	3.403574987
220	3.398965811
221	3.384988879
222	3.370156528
223	3.365150616
224	3.346870908
225	3.333372194
226	3.320044301
227	3.305994023
228	3.298116998
229	3.284110522
230	3.278390317
231	3.272546395
232	3.259692252
233	3.246987431
234	3.234467943
235	3.222078465
236	3.217559369
237	3.205235195
238	3.193100948
239	3.175943431
240	3.167425569
241	3.163098818
242	3.151250814
243	3.139539139
244	3.128015428
245	3.116635183
246	3.112423627
247	3.099544971
248	3.088440292
249	3.084012002
250	3.073051484
251	3.062204691
252	3.056137224
253	3.045413088
254	3.034820623
255	3.023824172
256	3.009330748
257	2.999128971
258	2.992069856
259	2.982095293
260	2.976752022
261	2.966871453
262	2.962930586
263	2.957348442
264	2.946113649
265	2.944193935
266	2.933070746
267	2.92201412
268	2.909843111
269	2.906040418
270	2.896661554
271	2.887447886
272	2.87697648
273	2.873887395
274	2.864914032
275	2.859639552
276	2.850725003
277	2.845706193
278	2.843014476
279	2.834255672
280	2.831447451
281	2.82199254
282	2.819455917
283	2.808943885
284	2.800496816
285	2.79018255
286	2.781955905
287	2.77628709
288	2.771925113
289	2.763815127
290	2.755831091
291	2.744560404
292	2.735613522
293	2.727924289
294	2.719237879
295	2.715596103
296	2.712946166
297	2.708286737
298	2.700788908
299	2.693396126
300	2.684946687
301	2.680258165
302	2.676568276
303	2.673006194
304	2.665787903
305	2.658668433
306	2.651611115
307	2.644660574
308	2.639154495
309	2.632349176
310	2.629789089
311	2.62306396
312	2.616413612
313	2.609875247
314	2.603430251
315	2.601213356
316	2.594833515
317	2.588561935
318	2.585182771
319	2.578995912
320	2.575794226
321	2.569687454
322	2.563590347
323	2.560702075
324	2.554780083
325	2.548904499
326	2.541798884
327	2.538192634
328	2.532400935
329	2.528677388
330	2.522306071
331	2.51856988
332	2.513028742
333	2.504554795
334	2.502356677
335	2.495783623
336	2.4921051
337	2.490070251
338	2.484709062
339	2.48240182
340	2.480652452
341	2.47535936
342	2.472505741
343	2.464623869
344	2.462021757
345	2.459935929
346	2.453732005
347	2.450578112
348	2.449069978
349	2.447234196
350	2.442140913
351	2.437109705
352	2.433577882
353	2.428614927
354	2.425092587
355	2.420218185
356	2.417309358
357	2.412478312
358	2.409741354
359	2.406225125
360	2.401452932
361	2.396781849
362	2.392148966
363	2.390146104
364	2.385603976
365	2.38110283
366	2.376662326
367	2.372293185
368	2.370953354
369	2.366666097
370	2.362422916
371	2.358186463
372	2.355841047
373	2.351737683
374	2.347675957
375	2.343675842
376	2.338403441
377	2.334519144
378	2.33184884
379	2.32787714
380	2.324014753
381	2.319117791
382	2.315274787
383	2.313316045
384	2.309605164
385	2.307009983
386	2.301878685
387	2.298853136
388	2.297444336
389	2.291258549
390	2.288648791
391	2.285595742
392	2.285214345
393	2.282457751
394	2.28009735
395	2.277690088
396	2.274838308
397	2.272812824
398	2.271487941
399	2.266505157
400	2.264662617
401	2.262332281
402	2.260188525
403	2.254588567
404	2.252481064
405	2.251196368
406	2.247893237
407	2.245852378
408	2.245144852
409	2.244322771
410	2.241835975
411	2.241428256
412	2.237876884
413	2.236087837
414	2.234609456
415	2.231500411
416	2.228538125
417	2.226028858
418	2.223395689
419	2.219875284
420	2.216262889
421	2.215862552
422	2.212444014
423	2.210050265
424	2.207267329
425	2.203858248
426	2.200535709
427	2.198632147
428	2.19306426
429	2.18980709
430	2.186811812
431	2.18267081
432	2.180763745
433	2.177672745
434	2.174535082
435	2.172958114
436	2.170649205
437	2.168840949
438	2.167554669
439	2.162805784
440	2.16017593
441	2.157033814
442	2.152729125
443	2.151183583
444	2.148457279
445	2.143305162
446	2.14172108
447	2.139752709
448	2.136814027
449	2.134121019
450	2.131224197
451	2.129666936
452	2.126733558
453	2.126006137
454	2.12318963
455	2.119050552
456	2.116968144
457	2.1142333
458	2.111488861
459	2.107858496
460	2.105539065
461	2.104753559
462	2.102136431
463	2.101499478
464	2.100353003
465	2.097968265
466	2.095669524
467	2.09185635
468	2.089766619
469	2.087980481
470	2.086476581
471	2.085853376
472	2.083473276
473	2.08140762
474	2.079655549
475	2.077320738
476	2.074754028
477	2.072182591
478	2.068321012
479	2.066931816
480	2.064480377
481	2.062067496
482	2.057484551
483	2.055069893
484	2.052659675
485	2.051332665
486	2.050548899
487	2.048287011
488	2.044875686
489	2.042387571
490	2.039280049
491	2.035324363
492	2.032954214
493	2.029520979
494	2.02740346
495	2.02516757
496	2.024451784
497	2.022013781
498	2.019815936
499	2.018417735
500	2.016546317
501	2.014578209
502	2.012514158
503	2.009331741
504	2.008776848
505	2.006492545
506	2.002742991
507	2.000678552
508	1.998804052
509	1.997412192
510	1.99571111
511	1.993618929
512	1.992311604
513	1.98980525
514	1.986620953
515	1.984545182
516	1.982193822
517	1.980243422
518	1.977860484
519	1.975807065
520	1.973564198
521	1.971989599
522	1.969982994
523	1.968465553
524	1.966660665
525	1.964553368
526	1.963079611
527	1.962041628
528	1.961045727
529	1.959091345
530	1.957753836
531	1.957372059
532	1.955681218
533	1.95339394
534	1.95074081
535	1.949651237
536	1.947898399
537	1.946572173
538	1.945373939
539	1.944042561
540	1.941898326
541	1.9389598
542	1.938608589
543	1.938348668
544	1.935367501
545	1.933574569
546	1.932978028
547	1.931206598
548	1.928356545
549	1.926491476
550	1.925028626
551	1.923268808
552	1.922216939
553	1.920342525
554	1.918349665
555	1.917804059
556	1.916140558
557	1.914154487
558	1.91344969
559	1.912570055
560	1.910520444
561	1.909532681
562	1.90778995
563	1.906016593
564	1.904384389
565	1.903703716
566	1.902062174
567	1.900382642
568	1.898518522
569	1.897858262
570	1.896204417
571	1.895343631
572	1.893807084
573	1.891522999
574	1.888922942
575	1.887212801
576	1.885626317
577	1.884302841
578	1.88388503
579	1.881871672
580	1.880230203
581	1.878677781
582	1.876728454
583	1.874424974
584	1.87352329
585	1.871998442
586	1.869926402
587	1.869597533
588	1.868762615
589	1.866834518
590	1.865387004
591	1.863747452
592	1.862198243
593	1.860736773
594	1.860321729
595	1.858484136
596	1.856662071
597	1.855576787
598	1.855331336
599	1.853823623
600	1.85173056
601	1.851390424
602	1.850912181
603	1.849515035
604	1.847617501
605	1.847376482
606	1.845974663
607	1.845065796
608	1.84297191
609	1.841809642
610	1.840465148
611	1.839833559
612	1.838160995
613	1.836784451
614	1.835112093
615	1.833732891
616	1.831274871
617	1.828941793
618	1.827984019
619	1.826488409
620	1.824275331
621	1.822894917
622	1.821087891
623	1.820181316
624	1.818623592
625	1.817798087
626	1.817089135
627	1.8161752
628	1.815758292
629	1.814395234
630	1.813279908
631	1.811498766
632	1.81053056
633	1.809037398
634	1.808144426
635	1.806986224
636	1.806642343
637	1.805195613
638	1.804307923
639	1.803344192
640	1.801974686
641	1.801574139
642	1.801234423
643	1.800337097
644	1.799057344
645	1.797516387
646	1.795529469
647	1.795298657
648	1.794854027
649	1.793378327
650	1.793103777
651	1.792450065
652	1.791817783
653	1.790474079
654	1.788812613
655	1.787429013
656	1.785857749
657	1.785134893
658	1.784586794
659	1.782927773
660	1.78263815
661	1.781943822
662	1.780434661
663	1.778705649
664	1.776760067
665	1.776536687
666	1.776176486
667	1.774878343
668	1.774539162
669	1.774112994
670	1.772915383
671	1.771651951
672	1.771433239
673	1.770072997
674	1.768044118
675	1.766756369
676	1.766548767
677	1.764560764
678	1.762523797
679	1.76104447
680	1.759156722
681	1.757984585
682	1.757197655
683	1.756579222
684	1.755133701
685	1.754841324
686	1.754373411
687	1.752988098
688	1.751609258
689	1.749430994
690	1.74913483
691	1.747900603
692	1.746006949
693	1.74489618
694	1.743648992
695	1.742492455
696	1.742232966
697	1.740938022
698	1.739449781
699	1.738197573
700	1.73773526
701	1.736315353
702	1.735184484
703	1.734056609
704	1.733804416
705	1.732797073
706	1.732521196
707	1.730510988
708	1.729565652
709	1.72935611
710	1.728665527
711	1.727763307
712	1.727450321
713	1.726352101
714	1.724827338
715	1.724523437
716	1.724018016
717	1.722693175
718	1.722311905
719	1.721378275
720	1.719890508
721	1.71881582
722	1.718610172
723	1.718143451
724	1.716247961
725	1.716048514
726	1.714860023
727	1.713559511
728	1.711854404
729	1.711464242
730	1.710302105
731	1.708645419
732	1.707117269
733	1.706021423
734	1.704826763
735	1.703762547
736	1.702907813
737	1.701804867
738	1.700276365
739	1.6989889
740	1.697674489
741	1.69735941
742	1.695873716
743	1.694933889
744	1.693608411
745	1.692378701
746	1.692165106
747	1.691617357
748	1.691422697
749	1.690361426
750	1.689985549
751	1.689795035
752	1.688532736
753	1.688328513
754	1.686416505
755	1.684939695
756	1.68384394
757	1.683683722
758	1.682006961
759	1.680848341
760	1.680404278
761	1.679464273
762	1.678494615
763	1.678054576
764	1.677383045
765	1.676090694
766	1.675892275
767	1.67532292
768	1.673947484
769	1.672870632
770	1.670844726
771	1.669483222
772	1.667578458
773	1.667278461
774	1.667038991
775	1.665967656
776	1.664526104
777	1.66410838
778	1.663876466
779	1.663263898
780	1.663038438
781	1.662355016
782	1.662118206
783	1.661108394
784	1.660894276
785	1.660663347
786	1.66010972
787	1.659895039
788	1.658541012
789	1.657777988
790	1.656724207
791	1.656434409
792	1.656113396
793	1.655169457
794	1.6549331
795	1.653482443
796	1.653200194
797	1.652241162
798	1.651732817
799	1.650678296
800	1.649864489
801	1.649617213
802	1.648433984
803	1.646878652
804	1.64670281
805	1.645399267
806	1.645196587
807	1.64498662
808	1.644003225
809	1.643092013
810	1.642431183
811	1.64213175
812	1.641853263
813	1.640284723
814	1.638823051
815	1.638145203
816	1.636833002
817	1.635492718
818	1.635120999
819	1.634063909
820	1.633103429
821	1.631670512
822	1.630159938
823	1.628093564
824	1.626872003
825	1.625595801
826	1.624940303
827	1.624772771
828	1.624042688
829	1.623203601
830	1.621981575
831	1.621787608
832	1.620430395
833	1.620241434
834	1.62001362
835	1.618696191
836	1.618145769
837	1.616979997
838	1.616639195
839	1.615588596
840	1.614190473
841	1.613656724
842	1.61332462
843	1.612102261
844	1.611193001
845	1.610894622
846	1.60979191
847	1.608658066
848	1.607472351
849	1.606333039
850	1.605263461
851	1.604181103
852	1.603995596
853	1.603815042
854	1.602785009
855	1.601684438
856	1.601431272
857	1.600050614
858	1.599874909
859	1.599564396
860	1.598109511
861	1.597363455
862	1.596889889
863	1.596078083
864	1.59590657
865	1.595739561
866	1.595312806
867	1.594286325
868	1.593438669
869	1.592728138
870	1.592565189
871	1.592406482
872	1.592251887
873	1.591836695
874	1.591685947
875	1.591565175
876	1.59110832
877	1.590312023
878	1.590090507
879	1.58892223
880	1.587895539
881	1.586585503
882	1.585437929
883	1.585144971
884	1.585000084
885	1.584105741
886	1.583160889
887	1.582390548
888	1.581588988
889	1.581444224
890	1.580401655
891	1.580103546
892	1.578913265
893	1.578741955
894	1.577768908
895	1.577374761
896	1.576817362
897	1.576311741
898	1.576015352
899	1.575215364
900	1.574339427
901	1.573203702
902	1.573063755
903	1.572927374
904	1.57236728
905	1.572078246
906	1.571841298
907	1.571452341
908	1.570634767
909	1.569002773
910	1.568727422
911	1.5685946
912	1.567664974
913	1.567483222
914	1.567233405
915	1.566924905
916	1.566203721
917	1.566052955
918	1.565925867
919	1.565665088
920	1.565131398
921	1.564929348
922	1.564380156
923	1.563337499
924	1.563217079
925	1.561508068
926	1.561386848
927	1.560525362
928	1.560281314
929	1.559230809
930	1.558800806
931	1.558679406
932	1.557949747
933	1.557195231
934	1.556475317
935	1.555332061
936	1.55415083
937	1.553908425
938	1.553644893
939	1.552460673
940	1.551996982
941	1.550963883
942	1.550831089
943	1.550685
944	1.549261744
945	1.549024106
946	1.548847174
947	1.547996319
948	1.546598524
949	1.546478342
950	1.545828385
951	1.544765909
952	1.543720709
953	1.543638281
954	1.543503087
955	1.54327744
956	1.543183248
957	1.541902038
958	1.540577928
959	1.539566856
960	1.537915186
961	1.537115297
962	1.536182786
963	1.53607427
964	1.534990536
965	1.533342546
966	1.533244163
967	1.532669423
968	1.532413842
969	1.531188926
970	1.530150668
971	1.528647527
972	1.527474034
973	1.52630638
974	1.526132514
975	1.525821595
976	1.524751514
977	1.523246389
978	1.522152333
979	1.520950334
980	1.520090414
981	1.519086813
982	1.518960208
983	1.517754282
984	1.517051036
985	1.516131394
986	1.515234653
987	1.515049109
988	1.514912459
989	1.513367084
990	1.511922695
991	1.510587343
992	1.510004294
993	1.509695084
994	1.508409944
995	1.507665559
996	1.506562653
997	1.506337563
998	1.506022063
999	1.505150642
